Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",498.93220419995487,22.101135000004433,521.0893720999593,2022-11-03 17:15:06.926001,2022-11-03 17:23:25.914350,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
instrFunc,NA,NA,NA,0,+,552.7908102000365,521.0583089999855,1073.8844982499722,2022-11-03 17:23:25.914350,2022-11-03 17:32:38.729245,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",17.467237400007434,1073.875037599937,1091.3863790499745,2022-11-03 17:32:38.729245,2022-11-03 17:32:56.229350,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",21.067303500021808,1091.3752716999734,1112.4858888500603,2022-11-03 17:32:56.229350,2022-11-03 17:33:17.328959,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",3.3761509999167174,1112.4721996999579,1115.8840995500796,2022-11-03 17:33:17.328959,2022-11-03 17:33:20.729737,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",3.9811343000037596,1115.8721318999305,1119.882527949987,2022-11-03 17:33:20.729737,2022-11-03 17:33:24.729591,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",10.249217600096017,1119.8730722999899,1130.1498953500995,2022-11-03 17:33:24.729591,2022-11-03 17:33:34.995953,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",3.6500416001072153,1130.14021699992,1133.8168655500049,2022-11-03 17:33:34.995953,2022-11-03 17:33:38.661807,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
isiFunc,NA,NA,NA,NA,+,NA,1133.8063497999683,1135.8165397499688,2022-11-03 17:33:38.661807,2022-11-03 17:33:40.660101,NA,SR-1371,2022_Nov_03_1715,certainty_neuro,2021.2.3,59.978539668710326,
