Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",89.32094700005837,22.162681599962525,111.55658563983161,2023-06-01 10:02:35.378620,2023-06-01 10:04:04.769681,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
instrFunc,NA,NA,NA,0,+,436.63490780000575,111.51283949997742,548.1904776199954,2023-06-01 10:04:04.769681,2023-06-01 10:11:21.435980,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",23.93170299998019,548.1824478999479,572.159611819894,2023-06-01 10:11:21.435980,2023-06-01 10:11:45.402144,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",12.458447500015609,572.1474093999714,584.6416438200977,2023-06-01 10:11:45.402144,2023-06-01 10:11:57.885289,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",7.401148599921726,584.6289305998944,592.0569797198987,2023-06-01 10:11:57.885289,2023-06-01 10:12:05.302142,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",6.476609900011681,592.0452487999573,598.5570711198961,2023-06-01 10:12:05.302142,2023-06-01 10:12:11.802908,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",10.297904099919833,598.5451860999456,608.8716775199864,2023-06-01 10:12:11.802908,2023-06-01 10:12:22.118900,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",5.947693899972364,608.8622151999734,614.8405679198913,2023-06-01 10:12:22.118900,2023-06-01 10:12:28.086090,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
isiFunc,NA,NA,NA,NA,+,NA,614.828786399914,616.8373195199529,2023-06-01 10:12:28.086090,2023-06-01 10:12:30.084182,NA,SR-6215,2023_Jun_01_1002,certainty_neuro,2021.2.3,60.0117622971662,
