Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",33.940755899995565,38.37478359998204,72.3928292200435,2022-12-11 14:14:18.479773,2022-12-11 14:14:52.492246,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
instrFunc,NA,NA,NA,0,+,434.30687769997166,72.34393319999799,506.6869278199738,2022-12-11 14:14:52.492246,2022-12-11 14:22:06.825022,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",56.146112799993716,506.68066539999563,562.8569808200118,2022-12-11 14:22:06.825022,2022-12-11 14:23:02.990932,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",12.418453800026327,562.8443062999868,575.3053469199804,2022-12-11 14:23:02.990932,2022-12-11 14:23:15.441118,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",6.541609000007156,575.2911834999686,581.8679161199834,2022-12-11 14:23:15.441118,2022-12-11 14:23:22.007081,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",5.95590290002292,581.8588312999927,587.8540473199682,2022-12-11 14:23:22.007081,2022-12-11 14:23:27.991234,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",26.466048500034958,587.8425700999796,614.3349503200152,2022-12-11 14:23:27.991234,2022-12-11 14:23:54.472882,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",3.1878402000293136,614.3257154999883,617.5553414200549,2022-12-11 14:23:54.472882,2022-12-11 14:23:57.691151,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
isiFunc,NA,NA,NA,NA,+,NA,617.5420068000094,619.5506886199582,2022-12-11 14:23:57.691151,2022-12-11 14:23:59.688346,NA,SR-8929,2022_Dec_11_1414,certainty_neuro,2021.2.3,60.02260450330153,
