Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",34.31963809999979,34.2700291000001,68.65446987999985,2022-08-15 16:42:55.387227,2022-08-15 16:43:29.765710,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
instrFunc,NA,NA,NA,0,+,508.4761224999993,68.61786990000019,577.1294931699995,2022-08-15 16:43:29.765710,2022-08-15 16:51:58.267512,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",5.113396400000056,577.1187975000003,582.2625926700002,2022-08-15 16:51:58.267512,2022-08-15 16:52:03.400459,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",24.87137039999925,582.2518417000001,607.162547169999,2022-08-15 16:52:03.400459,2022-08-15 16:52:28.299330,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",10.008873499999936,607.1503883000005,617.1971706699997,2022-08-15 16:52:28.299330,2022-08-15 16:52:38.333900,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",5.565314200000103,617.1833127,622.7786525700003,2022-08-15 16:52:38.333900,2022-08-15 16:52:43.917828,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",17.563390000000254,622.7677412000003,640.3609016700002,2022-08-15 16:52:43.917828,2022-08-15 16:53:01.500395,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",2.7793443999999,640.3503276000001,643.16161207,2022-08-15 16:53:01.500395,2022-08-15 16:53:04.300541,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
isiFunc,NA,NA,NA,NA,+,NA,643.1505993000001,645.16076557,2022-08-15 16:53:04.300541,2022-08-15 16:53:06.299567,NA,SR-9827,2022_Aug_15_1642,certainty_neuro,2021.2.3,60.02627950524162,
